he does not appreciate her;[əˈpriːʃɪeɪt];он не ценит ее
fascinating facts;[ˈfæsɪneɪtɪŋ];интересные факты
they departed for Germany;[dɪˈpɑːt];они отправились в Германию
endearment;[ɪnˈdɪəmənt];ласка
interrogate;[ɪnˈterəʊgeɪt];допрашивать
he is appreciative of your support;[əˈpriːʃjətɪv];он ценит вашу поддержку
a wedding feast;[fiːst];свадебный пир
he was obsessed with you;[əbˈses];он был одержим тобой
keep calm;[kɑːm];успокойся
it's difficult to prove;[pruːv];это трудно доказать
in spite;[spaɪt];назло
criminal offence;[əˈfens];уголовное преступление
magnificent mountains;[mægˈnɪfɪsnt];великолепные горы
he proposed a plan;[prəˈpəʊz];он предложил план
dizzy blonde;[ˈdɪzɪ];головокружительная блондинка
they are aware of the dangers;[əˈwɛə];они знают об опасностях
he pulled them;[pʊl];он вытащил их
excess fat;[ɪkˈses];избыток жира
he was seriously wounded;[wuːnd];он был тяжело ранен
wisdom;;мудрость
victim;;жертва
very own;;собственный
we unleashed the dog;;мы отвязали собаку
common trait;[treɪ];общая особенность
don't worry, sweetheart;;не беспокойся, дорогая
i sweep the floor;;я подметаю пол
suffer from pain;[ˈsʌfə];страдать от боли
her sparkling eyes;;ее сверкающие глаза
feeling smug after win;[smʌg];был самодовольный после победы
shallow pond;;мелкий пруд
ridiculous hat;[rɪˈdɪkjʊləs];смешная шляпа
house retains features;;дом сохраняет черты
relieve pain;[rɪˈliːv];облегчить боль
proof of concept;;доказательство концепции
pleasant surroundings;[ˈpliːzɪŋ];приятное окружение
perceived the truth;[pəˈsiːv];воспринимать правду
orange peel;;апельсиновая кожура
naughty girl;[ˈnɔːtɪ];непослушная девчонка
mention of her;;упоминание о ней
mature woman;;зрелая женщина
janitor;[ˈʤænɪtə];дворник
literature inspired him;[ɪnˈspaɪə];литература вдохновила его
incapable of speech;;неспособный говорить
these words imply another;;эти слова подразумевают другое
hook;;крючок
handsome;;красивый
hag;;ведьма
grab;[græb];захватить
generous;[ˈʤenərəs];щедрый
garlic;[ˈgɑːlɪk];чеснок
freak;;помешанный
fancy;;воображать
fallacy;[ˈfæləsɪ];заблуждение
faith;;вера
face it;;правде в глаза
essentially;;по существу
endure;[ɪnˈdjʊə];терпеть
edge;;край
dump;;сваливать
disgust;[dɪsˈgʌst];отвращение
crap;;дерьмо
convince;[kənˈvɪns];убеждать
convenient; [kənˈviːnjənt];удобный
conscious; [ˈkɔnʃəs];сознательный
confident;[ˈkɔnfɪdənt];уверенный
chew;;жевать
caviar; [ˈkævɪɑː];икра
capable;;способный
by the way;;кстати
bound;;привязывать
bitter;;резкий
beneath;;под
behold;;вот
bark;;гавкать
awful;;ужасный
ailment;;болезнь
adopt;;принимать
admire;[ədˈmaɪə];любоваться
abiding;[əˈbaɪdɪŋ];постоянный
apparently;;видимо